avg_vol_3m,change,company_name,last_price,market_cap,pe_ratio_ttm,percent_change,sector_name,symbol,volume
6.04M,+0.26,"Applied Materials, Inc.",196.32,163121709056,23.07,+0.13%,Technology,AMAT,771039
5.369M,-0.12,Texas Instruments Incorporated,174.6899,159052005376,27.21,-0.07%,Technology,TXN,1043037
1.06M,-0.66,Agree Realty Corporation,57.7133,5827542528,34.15,-1.13%,Real Estate,ADC,49792
2.611M,-0.02,Apartment Income REIT Corp.,38.45,5579249152,9.00,-0.05%,Real Estate,AIRC,289285
3.455M,-0.30,Healthcare Realty Trust Incorporated,14.08,5435062784,,-2.09%,Real Estate,HR,441413
2.154M,-0.96,Vornado Realty Trust,25.835,5358411264,112.33,-3.56%,Real Estate,VNO,138369
3.418M,-0.07,Rithm Capital Corp.,11.065,5353944064,10.06,-0.58%,Real Estate,RITM,251305
"771,477",-1.20,Terreno Realty Corporation,54.11,5222821888,29.90,-2.17%,Real Estate,TRNO,53818
1.96M,-0.27,Kite Realty Group Trust,21.445,4784743936,97.48,-1.27%,Real Estate,KRG,82286
"821,096",-0.67,National Storage Affiliates Trust,35.11,4665627648,23.72,-1.87%,Real Estate,NSA,28224
"594,306",-0.38,Rayonier Inc.,29.9,4507484672,25.56,-1.25%,Real Estate,RYN,38787
"637,180",-0.33,"Phillips Edison & Company, Inc.",32.9,4476045312,68.54,-0.99%,Real Estate,PECO,36974
1.378M,-0.19,"Essential Properties Realty Trust, Inc.",26.14,4442571264,21.08,-0.72%,Real Estate,EPRT,80988
1.083M,-0.92,Kilroy Realty Corporation,32.79,3886172416,18.22,-2.73%,Real Estate,KRC,69999
1.783M,-0.19,"Apple Hospitality REIT, Inc.",15.085,3655789312,19.59,-1.21%,Real Estate,APLE,100283
4.508M,-16.49,International Business Machines Corporation,167.6101,153655738368,20.54,-8.96%,Technology,IBM,5498078
48.21M,+0.31,Intel Corporation,34.81,148181647360,87.03,+0.90%,Technology,INTC,7235460
1.158M,-45.49,"ServiceNow, Inc.",700.8,143931703296,83.13,-6.10%,Technology,NOW,894258
18.768M,-0.29,"Uber Technologies, Inc.",69.07,143771959296,79.39,-0.42%,Technology,UBER,3361194
22.277M,-0.47,"Micron Technology, Inc.",111.31,123261353984,,-0.42%,Technology,MU,4093039
1.04M,+22.60,Lam Research Corporation,907.4909,118974783488,35.00,+2.55%,Technology,LRCX,233165
3.468M,+1.26,"Analog Devices, Inc.",197.755,98068291584,35.31,+0.64%,Technology,ADI,379702
6.082M,-8.82,"Palo Alto Networks, Inc.",285,92083503104,44.12,-3.00%,Technology,PANW,653601
9.232M,-1.47,Shopify Inc.,70.79,91120181248,707.90,-2.03%,Technology,SHOP,1009002
"951,469",+6.52,KLA Corporation,663.06,89668255744,33.56,+0.99%,Technology,KLAC,202755
2.543M,-0.70,"Fiserv, Inc.",151.555,89229975552,28.43,-0.46%,Technology,FI,166492
7.987M,0.00,Dell Technologies Inc.,120.2,85797560320,27.57,0.00%,Technology,DELL,1141438
2.705M,+5.38,"Arista Networks, Inc.",260.15,81331732480,39.60,+2.11%,Technology,ANET,697081
2.242M,-0.14,"Independence Realty Trust, Inc.",15.62,3608626176,,-0.89%,Real Estate,IRT,502997
1.237M,-0.19,RLJ Lodging Trust,11.185,3496721664,34.95,-1.71%,Real Estate,RLJ,46707
1.603M,-0.41,Cousins Properties Incorporated,22.71,3454190848,41.29,-1.77%,Real Estate,CUZ,81202
1.985M,-0.32,The Macerich Company,15.32,3447198976,,-2.05%,Real Estate,MAC,147790
2.521M,-0.36,Park Hotels & Resorts Inc.,16.43,3459106560,37.34,-2.14%,Real Estate,PK,82333
"190,482",+0.71,The St. Joe Company,57.57,3361944064,43.29,+1.25%,Real Estate,JOE,28255
1.283M,-2.10,SL Green Realty Corp.,50.06,3259511808,,-4.03%,Real Estate,SLG,195010
"421,233",-0.45,PotlatchDeltic Corporation,40.96,3256655872,53.19,-1.09%,Real Estate,PCH,90194
1.468M,-0.01,"CareTrust REIT, Inc.",23.795,3212158208,46.66,-0.06%,Real Estate,CTRE,43723
"340,387",-0.50,Howard Hughes Holdings Inc.,63.75,3203188992,,-0.78%,Real Estate,HHH,24441
2.099M,-0.01,"Sabra Health Care REIT, Inc.",13.69,3168919808,228.17,-0.07%,Real Estate,SBRA,80402
2.211M,-0.18,"Blackstone Mortgage Trust, Inc.",18.07,3138289152,451.75,-0.99%,Real Estate,BXMT,542283
"790,312",-0.35,Tanger Inc.,28.3,3090161920,30.76,-1.22%,Real Estate,SKT,77897
1.074M,-4.36,"Synopsys, Inc.",523.165,79805677568,57.68,-0.83%,Technology,SNPS,149672
1.542M,-2.44,"Cadence Design Systems, Inc.",275.22,74896728064,71.86,-0.88%,Technology,CDNS,325905
3.56M,-5.79,"CrowdStrike Holdings, Inc.",291.835,70585835520,810.65,-1.94%,Technology,CRWD,449654
2.876M,-0.29,Amphenol Corporation,116.02,69794373632,37.31,-0.25%,Technology,APH,618499
1.873M,-4.50,"Workday, Inc.",251.24,66374594560,48.13,-1.76%,Technology,WDAY,142362
2.359M,+2.64,NXP Semiconductors N.V.,237.68,60868661248,22.23,+1.12%,Technology,NXPI,342866
14.075M,+2.21,"Marvell Technology, Inc.",67.06,58073956352,,+3.41%,Technology,MRVL,1980547
"637,898",-1.07,"Motorola Solutions, Inc.",344.035,57318297600,34.61,-0.31%,Technology,MSI,54301
"510,150",-3.02,"Roper Technologies, Inc.",534.99,57255698432,41.96,-0.56%,Technology,ROP,47827
1.763M,-3.85,Atlassian Corporation,195.16,50625871872,,-1.93%,Technology,TEAM,211218
6.953M,-4.33,Snowflake Inc.,150.665,50352242688,,-2.79%,Technology,SNOW,747464
5.559M,+0.59,Microchip Technology Incorporated,91.27,49321209856,21.32,+0.65%,Technology,MCHP,473519
5.653M,-1.87,"Fortinet, Inc.",63.58,48513511424,43.55,-2.86%,Technology,FTNT,956392
"698,070",-0.51,EPR Properties,40.65,3075900416,20.63,-1.24%,Real Estate,EPR,139495
1.975M,-0.37,"DigitalBridge Group, Inc.",16.79,2917900800,15.26,-2.16%,Real Estate,DBRG,194020
"880,162",-0.97,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",24.97,2867005440,17.58,-3.74%,Real Estate,HASI,40509
2.079M,-0.14,SITE Centers Corp.,13.625,2856944384,11.26,-0.98%,Real Estate,SITC,53876
1.272M,-0.32,"Highwoods Properties, Inc.",25.575,2766013184,20.96,-1.25%,Real Estate,HIW,118178
"211,780",-1.65,"Innovative Industrial Properties, Inc.",97.035,2748865792,16.82,-1.68%,Real Estate,IIPR,11851
1.387M,-0.15,"Broadstone Net Lease, Inc.",14.285,2734606080,17.21,-1.07%,Real Estate,BNL,54031
"184,483",-0.70,"National Health Investors, Inc.",62.15,2698851328,19.86,-1.11%,Real Estate,NHI,2587
1.755M,-0.47,"Douglas Emmett, Inc.",13.1,2597140736,,-3.47%,Real Estate,DEI,107611
1M,-0.30,COPT Defense Properties,22.65,2593764608,,-1.31%,Real Estate,CDP,72337
"5,608",0.00,"Empire State Realty OP, L.P.",9.34,2524190976,31.13,0.00%,Real Estate,ESBA,1
1.967M,-0.30,OUTFRONT Media Inc.,15.145,2512267776,,-1.97%,Real Estate,OUT,84270
2.453M,-0.10,LXP Industrial Trust,8.44,2490778880,105.50,-1.17%,Real Estate,LXP,126352
69.03M,-0.25,Palantir Technologies Inc.,21.3441,47228735488,237.16,-1.14%,Technology,PLTR,6686123
1.535M,+0.17,"Autodesk, Inc.",215.17,46028091392,51.35,+0.08%,Technology,ADSK,166129
9.919M,-2.37,"Block, Inc.",71.6601,44120625152,"3,583.01",-3.20%,Technology,SQ,1112918
10.686M,+1.97,"Super Micro Computer, Inc.",756.69,44304502784,59.35,+0.26%,Technology,SMCI,1286715
2.159M,-0.51,TE Connectivity Ltd.,139.49,43074375680,13.27,-0.36%,Technology,TEL,326142
3.854M,-3.11,"Datadog, Inc.",123.96,41429168128,885.43,-2.45%,Technology,DDOG,590676
4.079M,-0.53,"Fidelity National Information Services, Inc.",70.28,40514027520,82.68,-0.75%,Technology,FIS,363986
4.428M,-2.35,"The Trade Desk, Inc.",81.44,39802007552,226.22,-2.80%,Technology,TTD,800050
"378,754",-2.61,"Gartner, Inc.",448.45,34906812416,40.40,-0.58%,Technology,IT,28515
4.425M,-0.89,Cognizant Technology Solutions Corporation,66.63,33128368128,15.83,-1.32%,Technology,CTSH,324674
"680,558",-1.48,CDW Corporation,239.21,32142170112,29.50,-0.61%,Technology,CDW,44824
"525,401",-21.28,"HubSpot, Inc.",630.46,31948247040,,-3.27%,Technology,HUBS,96683
"551,345",+7.90,"Monolithic Power Systems, Inc.",650.11,31635001344,74.47,+1.23%,Technology,MPWR,53279
1.057M,-0.28,"Empire State Realty Trust, Inc.",9.08,2457438464,30.27,-2.99%,Real Estate,ESRT,106067
4.663M,-0.27,"Arbor Realty Trust, Inc.",12.755,2416460288,7.29,-2.04%,Real Estate,ABR,598270
1.042M,-0.18,"Newmark Group, Inc.",9.575,2315445504,39.90,-1.79%,Real Estate,NMRK,163137
2.184M,-0.10,Cushman & Wakefield plc,9.53,2182293760,,-1.04%,Real Estate,CWK,53447
"523,491",-0.24,"Four Corners Property Trust, Inc.",23.37,2152400384,21.84,-1.02%,Real Estate,FCPT,6880
1.922M,-0.14,"Sunstone Hotel Investors, Inc.",10.39,2116380672,11.17,-1.33%,Real Estate,SHO,45088
"891,887",-0.20,Urban Edge Properties,16.515,2062624384,7.83,-1.23%,Real Estate,UE,26483
"969,982",-0.01,Equity Commonwealth,18.65,1995382144,24.87,-0.05%,Real Estate,EQC,83313
1.16M,-0.18,Acadia Realty Trust,17.28,1945417088,86.40,-1.03%,Real Estate,AKR,35847
1.682M,-0.12,DiamondRock Hospitality Company,9.105,1928602752,25.29,-1.25%,Real Estate,DRH,89212
"168,337",+2.71,Fair Isaac Corporation,1195.74,29716649984,66.80,+0.23%,Technology,FICO,19916
3.998M,-1.96,"Cloudflare, Inc.",85.72,29125083136,,-2.24%,Technology,NET,337006
7.014M,+0.76,ON Semiconductor Corporation,66.29,28494493696,13.56,+1.16%,Technology,ON,1448186
"520,091",-3.20,"ANSYS, Inc.",325.37,28404801536,56.88,-0.97%,Technology,ANSS,26776
8.004M,-0.03,HP Inc.,28.065,27461070848,8.23,-0.12%,Technology,HPQ,627742
"996,935",-1.98,Garmin Ltd.,140.81,27004116992,20.99,-1.39%,Technology,GRMN,36802
4.67M,-0.19,Corning Incorporated,31.335,26802454528,46.08,-0.59%,Technology,GLW,351316
1.734M,-0.94,Fortive Corporation,75.11,26440898560,29.81,-1.24%,Technology,FTV,221271
1.631M,+0.25,GLOBALFOUNDRIES Inc.,47.56,26310144000,25.99,+0.53%,Technology,GFS,105779
2.374M,-3.56,"Zscaler, Inc.",173.9,26060304384,,-2.01%,Technology,ZS,153230
1.397M,-13.52,"MongoDB, Inc.",355.765,25910759424,,-3.66%,Technology,MDB,187461
1.318M,-1.43,"Keysight Technologies, Inc.",145.17,25340295168,26.69,-0.98%,Technology,KEYS,66197
"530,301",-2.18,"Broadridge Financial Solutions, Inc.",192.9,22718218240,33.61,-1.12%,Technology,BR,25632
4.4M,-1.69,AppLovin Corporation,68.01,22372704256,69.40,-2.43%,Technology,APP,609443
6.88M,-1.56,Western Digital Corporation,67.99,22197102592,,-2.24%,Technology,WDC,1853946
2.344M,-13.56,MicroStrategy Incorporated,1252.1053,22083633152,47.34,-1.07%,Technology,MSTR,214771
"469,622",-7.77,"Corpay, Inc.",299.65,21530931200,,-2.53%,Technology,CPAY,40664
15.201M,-0.01,Hewlett Packard Enterprise Company,16.915,21986625536,11.67,-0.09%,Technology,HPE,540018
"828,277",-0.74,PTC Inc.,179.76,21490667520,90.33,-0.41%,Technology,PTC,38664
1.89M,-0.32,"NetApp, Inc.",99.74,20584040448,22.72,-0.32%,Technology,NTAP,73871
"211,941",+38.91,"Tyler Technologies, Inc.",457.91,19433105408,117.41,+9.29%,Technology,TYL,84846
1.426M,-0.92,"Entegris, Inc.",126.92,19131158528,105.77,-0.72%,Technology,ENTG,134428
3.546M,-1.09,"Zoom Video Communications, Inc.",60.56,18625835008,29.26,-1.77%,Technology,ZM,245077
3.947M,-0.92,Samsara Inc.,33.732,18570242048,,-2.65%,Technology,IOT,393466
2.162M,-5.29,"First Solar, Inc.",172.19,18430873600,22.25,-2.98%,Technology,FSLR,288408
"619,724",-4.26,"VeriSign, Inc.",181.29,18154199040,22.95,-2.30%,Technology,VRSN,142333
2.903M,-1.13,Seagate Technology Holdings plc,85.98,18013757440,,-1.30%,Technology,STX,239676
"722,853",-5.09,Check Point Software Technologies Ltd.,155.915,17603737600,21.96,-3.16%,Technology,CHKP,220186
1.433M,-1.32,GoDaddy Inc.,122.515,17455691776,13.49,-1.06%,Technology,GDDY,64443
"227,174",+5.38,Teledyne Technologies Incorporated,367.875,17430394880,19.90,+1.48%,Technology,TDY,75399
"870,850",-0.18,"Leidos Holdings, Inc.",128.715,17379870720,89.39,-0.14%,Technology,LDOS,60832
3.717M,+0.33,"Pure Storage, Inc.",50.98,16563912704,268.32,+0.65%,Technology,PSTG,264117
2.394M,+1.70,"Skyworks Solutions, Inc.",102.82,16496954368,18.23,+1.68%,Technology,SWKS,270620
1.859M,+6.84,"Teradyne, Inc.",107.535,16450059264,39.39,+6.79%,Technology,TER,1700850
1.426M,-0.82,"Bentley Systems, Incorporated",53.615,16079996928,53.62,-1.52%,Technology,BSY,100852
1.724M,-1.63,"Akamai Technologies, Inc.",100.56,15406898176,28.57,-1.60%,Technology,AKAM,83852
2.028M,-2.04,"Okta, Inc.",91.7206,15353751552,,-2.18%,Technology,OKTA,103009
"982,298",-0.86,"SS&C Technologies Holdings, Inc.",60.68,15001916416,25.39,-1.40%,Technology,SSNC,38963
2.709M,-1.17,"Nutanix, Inc.",59.72,14591327232,,-1.92%,Technology,NTNX,91882
1.311M,-0.58,Jabil Inc.,119.66,14430637056,10.37,-0.48%,Technology,JBL,61784
1.504M,-0.74,Trimble Inc.,58.77,14352104448,47.02,-1.24%,Technology,TRMB,51150
"365,970",+0.24,Zebra Technologies Corporation,277.77,14276682752,48.56,+0.09%,Technology,ZBRA,65084
"495,670",-7.20,"EPAM Systems, Inc.",237.8,13774802944,33.68,-2.94%,Technology,EPAM,69559
3.934M,-0.47,"Dynatrace, Inc.",46.27,13695874048,70.11,-1.01%,Technology,DT,235086
4.176M,-7.06,"Enphase Energy, Inc.",100.105,13620587520,51.60,-6.59%,Technology,ENPH,1819510
4.419M,-0.34,Gen Digital Inc.,20.485,13047102464,9.27,-1.66%,Technology,GEN,182878
"401,251",+2.36,"Manhattan Associates, Inc.",208.685,12848630784,68.42,+1.15%,Technology,MANH,85911
